Name,Pick,Strengths,Weaknesses,Height,Weight,Age
Andrew Wiggins,1,"Off the charts run/jump athleticism … Lateral quickness and length also gives him great potential as a perimeter defender, along with versatility to guard both wing positions efficiently … Incredibly dangerous in transition opportunities, long strider with a quick first step, did a great job of scoring or getting fouled when getting out in transition … Shooting mechanics have improved greatly, with quickness enough to get his shot off under tight defense … Got to the FT stripe at a good rate, making 77.5% of his attempts … As an offensive rebounder, can keep possessions alive that very few others can due to his second jump and tremendous leaping ability … Challenged defensively at Kansas, often asked to guard the other teams leading scorer on the wing, doing an admirable job … Unselfish, will look for teammates and is an evolving playmaker … Spin move can become a major weapon in isolation, plus has shown a floater that over time could become a weapon … When being closely defended, his step back jumper has also been a move that is tough to guard … Plays with a quiet intensity and while some question his lack of emotion, also never gets to down … When he has been challenged, has shown an ability to step up to the challenge … Son of a former NBA player and an Olympic sprinter, has an understanding of the game and a knowledge of where to get to on the court … Conditioning is fantastic, played major minutes as a freshman and should be able to carry a solid work load immediately … Ability to run the floor is elite and ensures a certain level of success at NBA level …  Very skinny but has the broad shoulders to add weight if he’s determined to … Showed an increased understanding of his role and got much lower on defense as the year progressed at Kansas, looks to be quite coachable … Aside from a poor final tournament game, seemed to be playing his best basketball as the season came to a close, including a huge 40 plus point breakout performance against West Virginia …","The biggest issue is whether or not Wiggins has the mental make up to maximize his immense physical gifts. While some scouts are extremely high on him, there are just as many that question his focus and passion for the game … Often plays too upright on offense, which can get him off his base and lead to turnovers … Needs to work on moving without the ball, has a reputation of sometimes standing, ball watching … Defensive awareness is something he must work on, along with always running out to his spot and not relying completely on length, athleticism to challenge a player … Still needs to add upper body strength, had issues finishing around the basket and getting knocked off of his spot when defensive rebounding … Long range shot is still not overly consistent, sometimes turns his hand outward on follow through … Often loose with dribble, sometimes has the ball too high and gets exploited when double teamed … Some question his lack of assertiveness offensively, which calls into question his ability to be a primary option on a high level team … Battled inconsistency and struggled against physical defense, which could point to strength as well as a sign of shaky confidence … Should look to become a more vocal leader … Too often settled for long range shots and did not venture out of his comfort zone enough, still has many things to learn in terms of creating mid range shots and counter moves … Had a difficult time establishing post position, something that could be a crucial next step to utilize his quickness and size as a wing at the next level … Has been compared to Kobe Bryant, but the biggest difference appears to be the attention to detail. So far, granted Kobe’s is extremely rare, Wiggins has been lacking in this area. Will he develop this critical aspect in order to polish his all around game to achieve greatness?",80,200,19.35
Jabari Parker,2,"Parker is on another level from his peers, skill wise … Very strong, bulky forward with elite level face up game for his age … An underrated athlete; Parker plays a smooth, if not overpowering brand of ball, and  is more likely to muscle through opponents than blow by them … Possesses very good hands … Shows the ability to grasp nuances of the game … Has a passion for basketball, and this comes out in his play … A la Paul Pierce, is especially good at step back jumper, and can do it in both directions … Creates a ton of separation with his step back … Can go to work in the post, especially against smaller and weaker defenders … Will likely be developed as a small forward in the NBA, where he will immediately become one of the largest and strongest at this position … Work ethic is phenomenal … Really wants to be a leader; wants to be great … Even in high school, practiced with the focus of a pro … Has been a winner every step of the way of his career; won four straight Illinois State Titles in high school … Can create for teammates thanks to his high basketball IQ and overall play making ability … Commands so much attention from opposing defenses that teammates will find themselves with more opportunities to receive the ball in a position to score with him on the floor …  Can finish with both hands around the hoop … Solid, but not great ability to knock down the NBA 3-ball … Had some impressive dunks in his freshman season at Duke, which proved that he does possess the hops and explosiveness that he often does not get credit for … Also showed surprising body control and ball handling, weaving through defenders for finishes at the rim in the open floor …","Defense and position are the two biggest questions with Parker … Some wonder whether he is quick enough to guard on the perimeter, or if he is long enough to defend the post … Has been given the ""tweener"" label that no draft prospect wants associated with his name … Appears to carry some extra ""baby fat"" … Somewhat slow release on the jumper, and it has a hitch; may need to tweak release to improve scoring opportunities against athletic defenders who match his size … Can he expand his range to be a reliable 3-point shooter? … Was asked to play in the post defensively for Duke, which may lead to an even bigger learning curve for Parker as he improves his understanding of how to guard wings in the NBA … Not a particularly crafty defender; surprising given how intelligent an offensive player he is …",81,240,19.3
Joel Embiid,3,"The sculpted Embiid has a prototypical body for an NBA center, standing 7 feet tall, with a 7.5-foot reach, and weighing 250 pounds. He could use more muscle, but his frame should have no trouble bearing the additional bulk … Posted outstanding per-40-minutes numbers in his lone season at Kansas, averaging 19.4 points, 14 rebounds, and 4.5 blocks … An agile and mobile center, with nimble feet, good speed, great quickness, and vertical explosiveness … Excellent around the rim, scoring regularly on put-backs and alley opps.  According to Hoop-Math.com, Embiid made 76.3 percent of his attempts at the rim this past season…  His offensive game is still a work in progress, but the potential is there.  His offensive arsenal includes very quick drop-steps, jump hooks, and turn-around jumpers … Uses a variety of ball and body fakes to create space for his shot, including the renowned “Dream Shake.” … Draws a bunch of fouls (8.8 per 40 minutes), and makes a respectable 69 percent of his free-throw attempts … An active and aggressive weak-side defender …  Covers a lot of ground with his length and huge strides … Stats don’t tell the full story – on the defensive end, he alters a number of shots and is generally disruptive … Not timid – willing to put a body on someone and mix it up in the paint …  Sets solid screens … Doesn’t panic when double teamed …","Embiid had trouble staying on the floor, either due to injuries or foul trouble.  In a total of 28 games at KU, he played fewer than 20 minutes 10 times and more than 30 minutes only three times … Questionable durability – this past season, he missed one game (Feb. 15) due to a knee injury, played in the four following games, and then was shut down for the rest of the year due to a stress fracture in his lower back. He also dealt with lower back issues as a senior in high school … Averaged a whopping 5.9 fouls per 40 minutes at KU … Lacks both offensive and defensive awareness … Averaged 4.2 turnovers per 40 minutes at KU …  Defensively, he frequently focuses too much on the ball and loses track of his man … Was at times pushed off the block by bigger centers … Seems to get frustrated when not heavily involved in the offense or not making his shots.  At those times, his play appears to be a bit lackadaisical …",84,250,20.29
Aaron Gordon,4,"A very athletic and versatile PF … Is a very active and energetic type of athlete, showing great leaping ability and explosiveness … Plays with a high motor… Physically lean, but is a wiry strong player who doesn’t  shy away from contact … Shows a very good nose for the ball … Always must be accounted for on box outs, as he is a very good offensive rebounder and shows an outstanding 1st and 2nd jump … High IQ player, who plays to his strengths and generally makes quick and precise decisions … Is an excellent passer for a guy who is generally considered a PF prospect (2 apg as a Fr.), and is a good decision maker as well … Moves well without the ball around the rim, and makes himself available for easy buckets … An alley-oop magnet with huge suction cup hands …Usually finishes with authority … Has a good enough 1st step to sporadically create his own shot on straight line drives to his right … Impressive defensive skills … Defended some at every position while at Arizona, and generally was excellent considering his relative inexperience … Contests every jump shot and is very disciplined on closeouts … Adequate shot-blocker … Understands the concept of help side defense better than a typical young player, which should allow him to play minutes immediately in the NBA … Very focused … An extremely well-conditioned athlete, who rarely gets tired or makes “lazy” plays … Seems like a great glue guy and role player, and isn’t the type of player who needs a lot of plays run for him to be effective … Will fit in well on a team in need to energy and athleticism … Pretty competitive player who doesn’t show a lack of effort often, which will always please his coaches … Still extremely young, won’t turn 19 until about a month or so before the 2014-2015 season …","Gordon’s main weaknesses revolve around his lacking skill level on the offensive side of the ball …Despite being the 2nd leading scorer on an Arizona squad that almost made it to the Final 4, Gordon needs extensive improvement offensively … His ball-handling ability is not very good right now, and he loses significant effectiveness the more he dribbles the ball … Rarely looks comfortable with his back to the rim … Not blessed with a soft touch, which suggests he will continue to have his struggles as a jump shooter, and from the line … Doesn’t seem to have a lot of range on his shot, even though he can occasionally hit 22 footers … Struggled mightily at the foul line in his only year in school (42%) and needs to work on his form, develop a little more sense of urgency and develop a set routine which replicates his mid range shot, and eliminates the ""long pause"" … Has a very deliberate and slow shot, sometimes it looks like the ball barely rotates when he shoots … Physically, Gordon has adequate height and strength, but he could use a little more bulk to his frame … Could get sealed by bigger PF’s in the NBA due to his narrow frame … Not particularly lengthy … Some consider Gordon a bit of a tweener, it will be interesting to see what type of body weight he can ultimately carry comfortably … Was determined to show that he was a small forward, but scouts view him strictly as a 4 for the next level … Needs to work on his footwork, as he picks up traveling calls often when trying to create … Has high/tight hips and it sometimes shows in his lateral movements … Has a very awkward running style, and while some compare it to Rodman with the way he runs on his toes, Gordon’s extremely short stride has drawn some concerns … Though very good on the offensive glass, Gordon sometimes shows raw awareness on the defensive glass and will forget to box out or be in the wrong places when the ball has been shot …",81,220,18.79
Dante Exum,5,"The 18-year-old Aussie is a fluid and versatile athlete, who shows a great deal of potential … Good size for a guard, and should fill out nicely over time …  Excels at getting to the basket and drawing fouls … Finishes through contact and can score with either hand …  Excellent body control allows him to make very acrobatic shots at the rim … Opposing defenders are constantly off-balance due to his effective hesitation moves and explosive first step …  Moves well without the ball – makes good use of screens and does it at a relatively high rate of speed … Can create scoring opportunities for both himself and his teammates … Just scratching the surface in certain areas of his game – effective at making floaters, shooting off the step-back and posting up, but does not use these skills very often … Improving as an outside shooter – smooth and elevates well off the dribble … Very versatile – used at the 1, 2, and 3 spots … An active and alert team defender – his length and speed allows him to cover a lot of ground … Comes up with a lot of steals and loose balls … Does a little bit of everything, and is willing to do whatever is needed to win, including setting screens and mixing it up in the paint … A good kid – is coachable, affable, grounded, humble, and intelligent …","Level of competition is the biggest knock against Exum. He has not proven himself against a high enough level of competition to make anyone feel completely comfortable drafting him in the top 5 … Some of his best performances have come in games (Under 19 World Championships) where he appeared to be one of the most physically advanced players … Playing for the Australian National Team, he was given free reign to create offense for himself. Can he be as succesful without being given the same level of freedom? … Exum has played off the ball a lot, and he doesn’t appear ready to be a true point guard … His handle is loose at times – has the ball poked away too often and occasionally fumbles when changing hands or directions … Not an exceptional facilitator – makes too many ill-advised passes … Inconsistent outside shot – does not always get enough elevation and has a low release point, especially when his feet are set (catch-and-shoot) …  Trajectory on his shot appears flat at times … Settles for long-distance threes too often … Not vertically explosive and struggles to finish with authority. For a player who thrives off of beating defenders off the dribble, his lack of ability to explode and finish with the best of them is concerning … Tends to drive to the left and shoot with his right … Struggles at the free-throw line, shooting around 65% in International competitions … Can he develop his body and become a tough player capable of finishing with contact?",78,196,18.97
Marcus Smart,6,"Strong, heady point guard with great size and instincts…Uses his mixture of quickness, strength, instincts, and aggressiveness to get to the rim, then uses his big frame and excellent body control to finish through contact…In addition to his scoring ability, Smart doubles as an excellent passer and playmaker.  He has great court vision and is willing to make the unselfish play to set up his teammates.  Averaged 5.8 assists per 40 minutes last season…Very sound perimeter defender who has the length (6’8"" wingspan), the strength, and the lateral quickness to keep his man in front of him.  Plays hard and harasses ball handlers into making bad decisions…Draws multiple defenders on his drives, then has the alertness to kick it out to an open teammate for a 3…Ball-hawking defender who averaged around 3 SPG throughout his college career.  Once again, his big wingspan helps him terrorize the passing lanes…His aggression and power allow him to get to the line at an excellent rate.  Shot over 8 free throws per game last season in just over 32 MPG…Great rebounding point guard due to his size and strength.  Averaged nearly 6 rebound a game last season…His height and his strength also allow him to post up smaller point guards and finish inside…Loves to get out in transition and has the vision and finishing ability to make him elite at running the fast break…Can play with guard position and can also defend multiple positions due to his size/quickness combo…Has a nose for the ball.  Will dive on the floor to get loose balls and will rip it out of the offensive player’s hands from time to time…Shows flashes of greatness in the pick-and-roll as both a scorer and a passer…Outside shot can be effective when Smart is on his game, making him a great inside-outside weapon…Makes winning plays.  His decision-making is excellent and he is great at balancing setting up teammates and making a scoring play himself…Raised his PPG (18.0 to 19.9) nearly 2 points per game in games against ranked opponents last season…Great motor and energy.  Puts it all on the line every minute of every game and always plays with intensity and competitiveness…Has that other-worldliness, always-in-control, do-what-it-takes-to-win, elite factor that a select few point guards (Kemba Walker, Trey Burke) in recent drafts have exhibited…","Not a great outside shooter.  Only made 29% from distance last season.  Needs to polish his mechanics and hit on a more consistent basis.  Struggles mightily on jumpers when guarded.  Release slowed by bringing the ball down to his knees before rising up and releasing.  Simply needs to be more consistent with his shot mechanics…Opponents will find it easier to stay in front of Smart because they don’t have to guard him as tight and respect his jumper…Not a very efficient scorer.  Needs to take smarter jump shots and not settle for pull-up threes…Could stand to be more patient and unselfish rather than forcing it and becoming dead-set on taking a shot at times…His assist/turnover ratio of 1.78 is not great.  Could certainly cut down on turnovers and be more patient on offense.  His aggression can sometimes be a weakness.  It also leads to offensive fouls on occasion…Mediocre ballhandler, another source of his turnover problems…Uses his physical gifts well, but ultimately doesn’t have great athleticism…Free throw percentage dropped from 78% to 73% between his freshman and sophomore seasons…Interestingly enough, Smart’s knack for making winning plays did not generally carry over to crunch time.  In 7 Cowboys games that Smart played in this season that were decided by 3 or fewer points or in overtime, Smart shot a mere 3/14 (21%) from the field in the final two minutes and overtime of those games.  He also missed several free throws in that span…Can be a bit of a ""flopper""…Smart’s teams have lost in their first game in the NCAA Tournament in each of the past two years, despite being expected to win both times.  The Cowboys also went on a big-time skid to end the Big 12 regular season, due, in part, to Smart’s suspension and inability to right the ship as the team point guard and star player…NBA scouts will have the Texas Tech incident fresh in their minds, when Smart lost his cool and shoved a fan, earning him a three-game suspension.  Smart doesn’t always maintain his composure, which can force him to make bad decisions both in and out of gameplay, and doesn’t always have a grey attitude or body language on the court.  This incident could have scared away a few teams at the top of the draft…",75,227,20.32
Julius Randle,7,"Very strong upper body and a reliable left hand … He shows a strong motor, and finishes well around the rim with contact … He is very skilled with his face up game and has shown some creative finishing ability … He is very dangerous on P&R and Pick and Pop, because of his ability to hit mid-range jumpers … Though he lacks elite explosiveness, he is able to use his strong frame to protect the ball and avoid blocks … On the offensive boards he is an absolute beast, relentless in seeking out rebounds … The same thing is true on the defensive end where he has natural instincts for rebounds … A pretty good post defender, he uses his strong body to not allow taller opponents to get close to the rim … He doesn’t have the quickest feet in the world, but definitely really good for a big, very balanced … Potentially he can switch on P&R situations for a couple of dribbles, but needs to improve on his showing … Randle is a mix of power, skills and balance that makes him a very interesting prospect … Despite being just a freshman he could have an immediate impact in the NBA due to his strength and offensive skills … He has drawn positive reviews for his attitude and coach-ability and appears to be a hard working kid that leaves everything on the floor every game and every practice …","Despite all the good things mentioned about his game there are a lot of concerns about Randle … In a way Randle’s high energy, ""bully ball"" style of playing reminds some of how Shabazz, at a different position, overpowered people last year and we’ve seen how much the former UCLA small forward has struggled in the league … It’s been noted that Randle is undersized for the PF position, lacking ideal length with a sub 7 foot wingspan … He may struggle to create looks against stronger, more athletic and taller opponents in the post … Offensively his numbers on synergy indicate how difficult it has been for him to score on post moves with very low percentages on each low post block and over either shoulder … It also doesn’t help matters that he is not able to utilize his right hand … Very few, even highly talented, players are able to play at high level without being able to finish and make moves with both hands, as the book becomes well known and everyone overplays their strength. I’m not sure if Randle fits this category, but the fear is there … His shooting isn’t consistent and despite good mechanics, his percentages are low and 3pts range is non-existent … He will have to develop a consistent solid jumpshot to replicate the success of Zach Randolph and Michael Beasley when facing the basket … Overall his game right now is based almost entirely on overpowering weaker opponents … He is very skilled but it will be hard to find the same success overpowering post players in the league. Also it is worth considering that most of Randle’s game is below the rim … His future will likely hinge more heavily than most prospects on landing in the right system, where a team has a vision of how to utilize him and makes sure he stays focused and works hard on the right skill development … A bad team or loss or focus could pose a huge risk to his NBA career …",81,250,19.59
Nik Stauskas,8,"Pure shooter with a picture perfect stroke and excellent range (44% career 3 point shooter) … Gets his feet set quickly and gets solid elevation on his jumper. Long arms also help him to get his shot off … Crafty, cerebral player who maximizes his athletic ability. Good at making adjustments during plays … Fiery competitor. Appears to lack a conscience and does not shy away from the limelight … Very smooth offensive game. Shows the ability to spot up for shots, as well as get shots off the dribble and has shown a solid ability to hit shots without much daylight … Improved considerably from FR to SO season. To his credit has worked hard to expand his game beyond just shooting, becoming a solid pick and role facilitator, even running the point during stretches in his sophomore year … Surprising leaper off of two feet and if he gets an open lane to the basket, uses his excellent length for some exciting two handed finishes at the rim … Ball handling is good for 2 guard … Has embraced the role of go to scorer and become the #1 option for Michigan this season … Solid a/to ratio shows good decision making and ball protection … Could fill the role of a 3 point shooting specialist, a la Steve Kerr, if his shot remains as effective from NBA 3 …","Although he’s viewed as more than just a shooter, his lack of overall speed could relegate him into being a one dimensional (spot up threat) pro … Not the most fluid of athletes. Lack of foot speed and overall quickness will make running defenders off screens to get open more challenging. This also affects his on ball ability to get by athletic defenders, and create shot opportunities … While his level of foot speed makes him very effective against college athletes, there is concern that he may struggle to find the same success against bigger, stronger, quicker athletes. Has been less effective when matching up against top shelf opposing guards. Lacks physicality. Gets pushed under the basket on drives easily. Has had a few games where he has been completely shut down (0-2 fg, 4 pts vs Duke) … Struggles on the defensive end against stronger and quicker opponents … Lack of foot speed hurts defensively … A good leaper off of 2 feet, but lacks a high level of overall run/jump athleticism and lateral speed … Body appears to be filled out, so how much stronger his legs and overall body can get are questionable …",78,207,20.73
Noah Vonleh,9,"Ideal PF size with very long arms and the skill set that had many envisioning him as a wing while in high school … Has shown flashes of potential to stretch the defense, as well as a rapidly developing post game, helped by his solid frame … Will not be 19 until August, which again brings to mind the potential growth his body and game could go through, along with the fantastic size and coordination he already possesses … Was a great rebounder during his freshman season, very aggressive on both ends of the floor hitting the glass … Gets out on the break and runs very well for his size. Shows very good mobility for a player with his size and strength, moves his feet especially well considering his thick, tree trunk legs … His combination of length, size and mobility made him a factor on that side of the floor, along with having major upside on that end with increased experience, awareness … Showed a good shot selection, shot a high percentage from the field and line, even showing ability out to three point range that could be developed down the line … Surprising ability to put the ball on the floor with decent mobility, along with range that should have defenders respecting his shot … Gets to the line fairly often and shot 71.3% FT as a freshman … Definitely passionate about basketball, has shown a will to improve and put in work … Cerebral kid. Is described as a gym rat, constantly looking to add to his game and made definite strides from senior year of HS to his freshman year of college … Though he is not an elite leaper, his length makes him a shot blocking and shot changing force …","The same youth and inexperience that makes him so intriguing might also mean a rougher transition to the pro game … Seems to lack a great feel and often appears to be ""thinking"" instead of just reacting and playing instinctively … Confidence is still an issue. Despite possessing great offensive tools, he took relatively few shots for a team banking on him to be a 2nd scoring option … Relies more on length than athletic ability, could also be questions about whether adding additional weight slows him down even more than it has seemed to since growing into the 4 spot … Needs work on his low post footwork, still adjusting to life as a PF as opposed to playing on the wing … On court awareness on both ends is still a work in progress, sometimes he lacks a bit of focus which could be attributed to lack of confidence and inexperience … Got into foul trouble fairly often, needs to play defense more with his feet than his arms … While his offensive skill set is tantalizing, some question whether he will develop the killer mentality that would make him into a viable top scoring option … Though his range projects to be a strength, he still needs work on being a reliable midrange and distance shooter … Turned it over quite a bit, which goes along with developing more court awareness",81,247,18.85
Elfrid Payton,10,"Tall, quick and talented offensive point guard … Deadly first step and killer crossover allow him to get to the basket seemingly at will … At 6’3"", has ideal size for a point guard … Quick hands and great defensive instincts allow him to get a ton of steals. Has averaged 2.4 per game over the past 2 seasons … Great in transition. Good finisher at the rim …Very athletic, is able to play above for highlight finishes … Good defender who shows a lot of defensive potential with his length (6’7"" wingspan) and quickness (lateral speed) … Effective pull-up jumper, though needs to add range and consistency … Seems to raise his game against good competition, as he did at the USA U19 tryouts and with his 20 points and 7 steals against Keith Appling and Michigan State last season … Improving court vision … Strong rebounding point guard … Gets to the line at a good rate (9.5 attempts per game) … Though a junior, he’s a year young for his grade giving him added intrigue …","While his jumper isn’t horrible, he needs to improve his consistency and range from the outside to diversify his game … Not a factor from behind the arc at this point … Subpar free throw shooter for a point guard, at under 70% on the year … Can drive to the left, but generally finishes with his right hand, no matter which side of the basket he is on. Should work on becoming an ambidextrous finisher … Needs to put on more muscle to absorb contact in the lane … Can play slightly out-of-control at times.  Currently averaging 3.8 turnovers per game this year, although his assists have risen this season …",76,185,20.35
